Data,Soggiacenza (m),id_left,longitude,latitude,quota[m],head[m],depth,averageHead[m],headSamples,geometry,AcquiferBase,control,index_right,id_right,Bottom,simulatedH,Error
2015-04-29 00:00:00,2.28,PO020003NUP001,893739.635299648,5565852.109130509,19.0,16.72,124.0,15.96877192982456,57.0,POINT (893739.635299648 5565852.109130509),[-176.70734],0.0,0,1,-105.0,17.965359590457638,1.996587660633077
2013-01-07 00:00:00,2.0,PO020004NR0001,897864.8546271822,5574932.465079031,25.0,23.0,15.0,22.60795180722892,83.0,POINT (897864.8546271822 5574932.465079031),[-112.26],0.0,0,1,10.0,21.077228746822,-1.5307230604069169
2013-05-10 00:00:00,2.38,PO020010NR0001,857294.6030004466,5583912.458489765,48.0,45.62,60.0,45.01127272727273,55.0,POINT (857294.6030004466 5583912.458489765),[-121.96778],0.0,0,1,-12.0,40.50172088296223,-4.509551844310501
2013-01-30 00:00:00,0.23,PO0200150R0002,858403.5950170011,5587823.934587988,51.0,50.77,6.0,49.62342105263159,76.0,POINT (858403.5950170011 5587823.934587988),[-101.91679],0.0,0,1,45.0,49.62932472413843,0.005903671506835906
2013-12-09 00:00:00,17.05,PO020018NU0004,872199.4035377237,5591383.262584726,72.0,54.95,40.0,54.138787878787866,66.0,POINT (872199.4035377237 5591383.262584726),[-77.386343],0.0,0,1,32.0,50.59476190486617,-3.5440259739216984
2013-01-24 00:00:00,1.8,PO0200190R0001,868438.0904547469,5581624.99229696,42.0,40.2,78.0,39.86876712328768,73.0,POINT (868438.0904547469 5581624.99229696),[-134.20306],0.0,0,1,-36.0,32.19343768600031,-7.675329437287374
2013-01-21 00:00:00,6.4,PO0200210R0045,887512.0750285246,5569189.42971589,25.0,18.6,30.0,18.822289156626503,83.0,POINT (887512.0750285246 5569189.42971589),[-150.],0.0,0,1,-5.0,19.596722356040676,0.7744331994141724
2015-05-21 00:00:00,1.85,PO020021NRP001,881464.7772061058,5565770.729862418,20.0,18.15,40.0,17.242000000000004,25.0,POINT (881464.7772061058 5565770.729862418),[-225.06919],0.0,0,1,-20.0,18.668673473002087,1.426673473002083
2015-05-26 00:00:00,4.97,PO020023NUP001,936543.8748158786,5553635.129673916,11.0,6.03,50.0,5.074489795918368,49.0,POINT (936543.8748158786 5553635.129673916),[-188.54569],0.0,0,1,-39.0,5.392335272566996,0.3178454766486274
2013-01-11 00:00:00,1.55,PO0200240R0001,871179.646758975,5577384.830126299,37.0,35.45,15.0,34.97658536585366,82.0,POINT (871179.646758975 5577384.830126299),[-150.],0.0,0,1,22.0,27.78502969791765,-7.191555667936008
